tag;dates;rmse;runtime;version;version_note;source
portugal;('2017-11-30', '2019-05-31');856;000:00:06;0.4;supervised learing model for time-series - Random Forest Regressor;test
united_kingdom;('2017-12-02', '2019-05-30');37950;000:00:04;0.4;supervised learing model for time-series - Random Forest Regressor;test
hong_kong;('2018-04-24', '2019-05-01');145;000:00:02;0.4;supervised learing model for time-series - Random Forest Regressor;test
eire;('2017-12-01', '2019-05-30');4208;000:00:04;0.4;supervised learing model for time-series - Random Forest Regressor;test
spain;('2017-12-05', '2019-05-31');318;000:00:04;0.4;supervised learing model for time-series - Random Forest Regressor;test
france;('2017-11-29', '2019-05-27');668;000:00:04;0.4;supervised learing model for time-series - Random Forest Regressor;test
singapore;('2018-05-01', '2019-05-10');2096;000:00:02;0.4;supervised learing model for time-series - Random Forest Regressor;test
all;('2017-11-29', '2019-05-31');37825;000:00:04;0.4;supervised learing model for time-series - Random Forest Regressor;test
norway;('2017-12-06', '2019-05-07');146;000:00:03;0.4;supervised learing model for time-series - Random Forest Regressor;test
germany;('2017-12-01', '2019-05-29');670;000:00:04;0.4;supervised learing model for time-series - Random Forest Regressor;test
netherlands;('2017-11-30', '2019-05-30');325;000:00:04;0.4;supervised learing model for time-series - Random Forest Regressor;test
